column,definition,unit,scenario_or_status,residual_sign_convention
C_BMP_DM_all_features__nested_oof_abs_pct_error,Absolute percentage error from the mean repeated out-of-fold prediction.,,out-of-fold,
D1_BMP_DM_no_DM__nested_oof_prediction_mean,Mean repeated out-of-fold prediction; each row was excluded from training in contributing folds.,,out-of-fold,
D1_BMP_DM_no_DM__nested_oof_prediction_sd,Standard deviation across repeated out-of-fold predictions for the row.,,out-of-fold,
D1_BMP_DM_no_DM__nested_oof_residual_obs_minus_pred,Residual calculated as observed minus mean repeated out-of-fold prediction.,,out-of-fold,observed minus prediction
D1_BMP_DM_no_DM__nested_oof_abs_error,Absolute error from the mean repeated out-of-fold prediction.,,out-of-fold,
D1_BMP_DM_no_DM__nested_oof_abs_pct_error,Absolute percentage error from the mean repeated out-of-fold prediction.,,out-of-fold,
D2_BMP_DM_no_VS__nested_oof_prediction_mean,Mean repeated out-of-fold prediction; each row was excluded from training in contributing folds.,,out-of-fold,
D2_BMP_DM_no_VS__nested_oof_prediction_sd,Standard deviation across repeated out-of-fold predictions for the row.,,out-of-fold,
D2_BMP_DM_no_VS__nested_oof_residual_obs_minus_pred,Residual calculated as observed minus mean repeated out-of-fold prediction.,,out-of-fold,observed minus prediction
D2_BMP_DM_no_VS__nested_oof_abs_error,Absolute error from the mean repeated out-of-fold prediction.,,out-of-fold,
D2_BMP_DM_no_VS__nested_oof_abs_pct_error,Absolute percentage error from the mean repeated out-of-fold prediction.,,out-of-fold,
A_BMP_VS_all_features__apparent_full_data_prediction,Prediction from a model fitted on all eligible rows; not a validation prediction.,,apparent full-data fit,
A_BMP_VS_all_features__apparent_full_data_residual_obs_minus_pred,Observed minus apparent full-data fitted prediction; not a validation residual.,,apparent full-data fit,observed minus prediction
B_BMP_DM_no_DM_VS__apparent_full_data_prediction,Prediction from a model fitted on all eligible rows; not a validation prediction.,,apparent full-data fit,
B_BMP_DM_no_DM_VS__apparent_full_data_residual_obs_minus_pred,Observed minus apparent full-data fitted prediction; not a validation residual.,,apparent full-data fit,observed minus prediction
C_BMP_DM_all_features__apparent_full_data_prediction,Prediction from a model fitted on all eligible rows; not a validation prediction.,,apparent full-data fit,
C_BMP_DM_all_features__apparent_full_data_residual_obs_minus_pred,Observed minus apparent full-data fitted prediction; not a validation residual.,,apparent full-data fit,observed minus prediction
D1_BMP_DM_no_DM__apparent_full_data_prediction,Prediction from a model fitted on all eligible rows; not a validation prediction.,,apparent full-data fit,
D1_BMP_DM_no_DM__apparent_full_data_residual_obs_minus_pred,Observed minus apparent full-data fitted prediction; not a validation residual.,,apparent full-data fit,observed minus prediction
D2_BMP_DM_no_VS__apparent_full_data_prediction,Prediction from a model fitted on all eligible rows; not a validation prediction.,,apparent full-data fit,
D2_BMP_DM_no_VS__apparent_full_data_residual_obs_minus_pred,Observed minus apparent full-data fitted prediction; not a validation residual.,,apparent full-data fit,observed minus prediction
source_citation,Common citation for the source dataset.,,source metadata,
source_doi,DOI for the source dataset.,,source metadata,
fold_assignment_file,Name of the accompanying fold-level assignment and prediction file.,,cross-reference,
